,Station_ID,Station Name,FSQ_ID,Venue Name,Latitude,Longitude,Distance,Address,Category name,Rating,Popularity,Price,Total Photos,Total Ratings,Total Tips
0,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,4fd3a01be4b0540d9cb027ea,Moii Cafe,49.262562,-123.115171,57,"2559 Cambie St (btwn W Broadway & W 10th Ave), Vancouver BC V5Z 3Y6",Café,8.0,0.22170187132002875,1.0,67.0,55.0,18.0
1,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,4b1db335f964a520211424e3,Marulilu Cafe,49.263364,-123.113942,96,"451W Broadway W (at Cambie St), Vancouver BC V5Y 1R4",Café,8.2,0.953848545500476,2.0,128.0,111.0,32.0
2,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,4aa8320cf964a520f94f20e3,Blenz Coffee,49.263421,-123.115731,144,"521W Broadway W (at Cambie St), Vancouver BC V5Z 1E6",Café,5.4,0.9774003614387594,1.0,33.0,31.0,15.0
3,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,5bcb670ad0a149002dede4fa,Jammer Cafe and Urban Garage,49.263663,-123.112021,188,"350 8th Ave W, Vancouver BC V5Y 3X2",Café,,0.5509026252890539,1.0,,,
4,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,4be48099910020a134ced114,Cultured Coffee & Tea,49.260682,-123.116309,223,"555 12th Ave W (at Cambie St in City Square Shopping Centre), Vancouver BC V5Z 3X7",Coffee Shop,,0.7946406016206448,1.0,,,
5,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,4aa98676f964a520105420e3,Elysian Coffee Broadway,49.263133,-123.117248,225,"590 Broadway W (at Ash St), Vancouver BC V5Z 1E9",Coffee Shop,8.3,0.9747964477954179,1.0,170.0,201.0,64.0
6,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,5177156c498ea4fd6b901dda,Aperture Coffee Bar,49.263286,-123.110286,299,"243 West Broadway (at Alberta St), Vancouver BC V5Y 1P5",Café,8.4,0.9238452420279435,1.0,68.0,96.0,30.0
7,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,58cc6ce6af7d175e606eaf83,Shaktea,49.265239,-123.11613,321,"511 7th Ave W, Vancouver BC V5Z 4R2",Tea Room,,0.7937661530090748,2.0,,,
8,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,4c75baefdb52b1f7c5b979dc,Caffe Cittadella,49.264791,-123.117227,336,"2310 Ash St (at W 7th Ave), Vancouver BC V5Z 3C2",Coffee Shop,8.6,0.9611356172635588,2.0,135.0,79.0,27.0
9,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,4aee5795f964a520a0d321e3,Blenz Coffee,49.263448,-123.119627,400,"695 Broadway W (at Heather St.), Vancouver BC V5Z 1G6",Café,5.6,0.9436855094148967,1.0,29.0,24.0,6.0
0,32603a87cfca71d0f7dfa3513bad69d5,0004 Yaletown-Roundhouse Station,515d0176fe70ed72be0f6d2f,Black Echo Coffee,49.274883,-123.121251,10,"1144 Mainland St (btwn Helmcken & Davie), Vancouver BC V6B 2T9",Café,,0.2790268358562795,1.0,,,
1,32603a87cfca71d0f7dfa3513bad69d5,0004 Yaletown-Roundhouse Station,4aa804eaf964a520c24e20e3,Starbucks,49.274749,-123.122051,29,"1195 Mainland St (at Davie St), Vancouver BC V6B 5P2",Coffee Shop,7.0,0.9861059831717223,1.0,102.0,92.0,21.0
2,32603a87cfca71d0f7dfa3513bad69d5,0004 Yaletown-Roundhouse Station,58b0e2997ff1e40eb7394fa3,Cha le Tea Merchant Ltd,49.274862,-123.122953,81,"1207 Hamilton St, Vancouver BC V6B 6K3",Tea Room,,0.03832028137813101,2.0,,,
3,32603a87cfca71d0f7dfa3513bad69d5,0004 Yaletown-Roundhouse Station,4aa7b956f964a5200b4d20e3,JJ Bean Coffee Roasters - Yaletown,49.27531,-123.12364,143,"402 Davie St (at Homer St.), Vancouver BC V6B 2G3",Coffee Shop,7.6,0.9619517693010241,2.0,140.0,200.0,54.0
4,32603a87cfca71d0f7dfa3513bad69d5,0004 Yaletown-Roundhouse Station,4aa740d2f964a5207b4c20e3,Blenz Coffee,49.275783,-123.121085,160,"338 Helmcken St (at Hamilton St.), Vancouver BC V6B 6C5",Café,5.7,0.9255747070597151,1.0,62.0,65.0,25.0
5,32603a87cfca71d0f7dfa3513bad69d5,0004 Yaletown-Roundhouse Station,4aa9415ff964a520af5220e3,Starbucks,49.273446,-123.120155,178,"125 Davie St (at Marinaside Cres.), Vancouver BC V6Z 2Y1",Coffee Shop,6.3,0.9912555138843008,1.0,56.0,54.0,13.0
6,32603a87cfca71d0f7dfa3513bad69d5,0004 Yaletown-Roundhouse Station,4aaa9910f964a520875620e3,Coo Coo Coffee,49.275784,-123.123761,197,"477 Davie St (at Richards St.), Vancouver BC V6B 2G2",Café,8.0,0.9077942519577933,1.0,71.0,87.0,30.0
7,32603a87cfca71d0f7dfa3513bad69d5,0004 Yaletown-Roundhouse Station,546cfab4498e31fa52b38545,Small Victory Bakery,49.27637,-123.121216,219,"1088 Homer St (btwn Helmcken & Nelson), Vancouver BC V6B 2W9",Bakery,8.9,0.988904218728746,1.0,202.0,278.0,62.0
8,32603a87cfca71d0f7dfa3513bad69d5,0004 Yaletown-Roundhouse Station,4ba01d9ff964a5204b5b37e3,7-Eleven,49.27653,-123.121635,219,"1093 Homer St (at Helmcken St.), Vancouver BC V6B 2X5",Convenience Store,5.4,0.8645381939721343,,10.0,13.0,4.0
9,32603a87cfca71d0f7dfa3513bad69d5,0004 Yaletown-Roundhouse Station,57196f28498e2aeaefab44b2,7 Days Coffee,49.276272,-123.115691,319,"920 Beatty St, Vancouver BC V6Z 3G6",Fish Market,,0.9794990381065273,1.0,,,
0,6d42fa40360f9a6b2bf641c7b8bb2862,0005 Dunsmuir & Beatty,4d3a1bcc6de7721eff25eb49,Blenz Coffee,49.279626,-123.107784,185,"603 Abbott St (at Keefer), Vancouver BC V6B 0J4",Coffee Shop,5.2,0.9465809059287615,1.0,38.0,46.0,15.0
1,6d42fa40360f9a6b2bf641c7b8bb2862,0005 Dunsmuir & Beatty,4efcd9519a520dfd637a0d53,Tim Hortons,49.280944,-123.107734,210,"108 Pender St W, Vancouver BC V6B 0K4","Cafes, Coffee, and Tea Houses",5.4,0.9663045801675055,1.0,79.0,58.0,18.0
2,6d42fa40360f9a6b2bf641c7b8bb2862,0005 Dunsmuir & Beatty,4ab78964f964a5200b7a20e3,Starbucks,49.279914,-123.107159,212,"99 Keefer Pl (at Abbott St), Vancouver BC V6B 6N5",Coffee Shop,5.8,0.9524688599133324,2.0,85.0,76.0,11.0
3,6d42fa40360f9a6b2bf641c7b8bb2862,0005 Dunsmuir & Beatty,4ab7d3dcf964a520fa7a20e3,Java Cat Cafe,49.28182,-123.111703,248,"515 Hamilton St (Pender), Vancouver BC V6B 2R1",Café,,0.9182682031052641,1.0,,,
4,6d42fa40360f9a6b2bf641c7b8bb2862,0005 Dunsmuir & Beatty,4aa730fbf964a520394c20e3,7-Eleven,49.280249,-123.106944,253,"1099 W Pender St (in Tinseltown), Vancouver BC V6B 6N9",Convenience Store,5.7,0.9160723654806553,,5.0,7.0,2.0
5,6d42fa40360f9a6b2bf641c7b8bb2862,0005 Dunsmuir & Beatty,58d184a5b50d5241f8025caf,Republica Coffee Roasters,49.282304,-123.111419,307,"321 Pender St W, Vancouver BC",Café,6.7,0.24783816871028547,1.0,5.0,11.0,
6,6d42fa40360f9a6b2bf641c7b8bb2862,0005 Dunsmuir & Beatty,4f6645f8e4b03a7ce2a37e6a,Catch 122,49.282004,-123.107986,310,"122 Hastings St W (at Abbott St), Vancouver BC V6B 1G8",Bistro,7.9,0.9618740405355511,1.0,318.0,203.0,58.0
7,6d42fa40360f9a6b2bf641c7b8bb2862,0005 Dunsmuir & Beatty,4b78724af964a520f0ce2ee3,Bean Around the World,49.282519,-123.109166,311,"175 Hastings St W (Cambie), Vancouver BC V6B 1H4",Café,6.2,0.8993023843298809,1.0,77.0,68.0,22.0
8,6d42fa40360f9a6b2bf641c7b8bb2862,0005 Dunsmuir & Beatty,5827c3091dbf6c7dd8ddfd6c,Nemesis Coffee,49.282787,-123.110244,314,"302 W Hastings St (Hamilton), Vancouver BC V6B 0P7",Coffee Shop,8.5,0.9830745613182799,1.0,187.0,140.0,32.0
